Date;Brent Spot Price (U.S. Dollars per Barrel);WTI Spot Price (U.S. Dollars per Barrel)
2021-11-26;72.37;
2020-01-20;64.63;
2017-07-04;49.15;
2017-01-16;54.3;
2021-11-17;80.67;78.32
2021-11-15;81.94;80.85
2021-11-09;84.52;84.12
2021-10-19;85.02;83.19
2021-10-01;79.4;76.01
2021-09-29;77.86;75.06
2021-09-27;78.85;75.54
2021-09-22;75.5;72.37
2021-09-20;73.59;70.41
2021-09-10;72.44;69.82
2021-09-03;73.07;69.34
2021-08-24;71.21;67.5
2021-08-23;69.07;65.65
2021-08-18;68.61;65.36
2021-08-12;71.79;69.12
2021-08-10;71.14;68.33
2021-08-03;73.24;70.64
2021-08-02;73.91;71.31
2021-07-21;72.54;70.26
2021-07-16;74.46;71.76
2021-07-07;74.31;72.22
2021-07-01;76.69;75.33
2021-06-23;75.22;73.11
2021-06-22;74.92;73.15
2021-06-16;73.88;72.03
2021-06-14;72.27;70.94
2021-06-09;71.31;69.9
2021-06-07;70.89;69.21
2021-05-24;68.59;66.13
2021-04-30;67.73;63.5
2021-04-26;65.5;62.02
2021-04-20;65.34;62.61
2021-04-16;65.98;63.16
2021-04-13;62.83;60.2
2021-04-09;61.89;59.29
2021-04-06;61.47;59.34
2021-03-19;64.0;61.43
2021-03-09;67.03;64.02
2021-03-05;69.95;66.08
2021-03-04;67.32;63.81
2021-02-18;64.09;60.4
2021-01-29;55.25;52.16
2021-01-21;55.68;53.0
2021-01-13;55.52;52.81
2021-01-05;53.16;49.78
2020-12-23;51.05;47.94
2020-12-15;50.77;47.58
2020-12-10;50.33;46.76
2020-12-04;49.1;46.23
2020-12-03;48.37;45.65
2020-11-18;42.91;41.64
2020-11-13;41.51;39.93
2020-11-12;42.16;40.9
2020-11-11;42.5;41.23
2020-11-10;42.25;41.18
2020-11-04;39.68;38.97
2020-11-03;38.17;37.44
2020-10-29;36.56;35.94
2020-10-06;41.27;40.52
2020-09-25;40.91;40.06
2020-09-15;39.54;38.29
2020-09-08;38.53;36.87
2020-09-02;42.7;42.76
2020-08-28;45.22;42.96
2020-08-17;44.91;42.89
2020-08-05;44.92;42.25
2020-08-03;43.76;40.83
2020-07-23;42.96;40.99
2020-07-21;44.31;41.76
2020-07-16;43.71;40.74
2020-07-08;43.67;40.91
2020-06-24;40.4;37.91
2020-06-19;42.33;39.72
2020-06-08;39.66;38.17
2020-06-01;36.74;35.49
2020-05-29;34.15;35.57
2020-05-15;30.95;29.44
2020-05-11;25.53;24.02
2020-05-06;24.2;23.88
2020-04-28;15.6;12.4
2020-04-22;13.77;13.64
2020-04-20;17.36;-36.98
2020-04-03;24.33;28.36
2020-04-02;20.24;25.18
2020-03-24;24.5;21.03
2020-02-28;51.31;44.83
2020-02-24;56.71;51.36
2020-02-14;57.37;52.03
2020-02-04;53.9;49.59
2020-01-30;57.72;52.19
2020-01-29;59.46;53.29
2020-01-27;58.54;53.09
2020-01-15;63.29;57.86
2020-01-14;64.45;58.34
2020-01-08;67.31;59.65
2020-01-03;69.08;63.0
2019-11-29;64.5;58.12
2019-11-26;64.82;58.25
2019-10-25;62.06;56.52
2019-10-04;59.13;52.84
2019-09-17;65.59;59.26
2019-09-06;61.28;56.45
2019-08-29;60.59;56.67
2019-08-22;59.81;55.33
2019-08-19;59.79;56.24
2019-08-15;57.37;54.51
2019-08-08;56.29;52.6
2019-07-17;63.67;56.5
2019-07-15;66.86;59.3
2019-07-10;66.41;60.28
2019-07-08;64.89;57.35
2019-07-01;65.1;58.91
2019-06-27;66.78;59.18
2019-06-12;61.66;51.13
2019-06-03;63.16;53.25
2019-05-21;72.94;63.02
2019-05-20;73.21;63.12
2019-05-10;71.63;61.65
2019-05-09;70.61;61.58
2019-05-07;70.98;61.41
2019-04-12;71.57;63.86
2019-04-10;71.63;64.62
2019-03-28;66.08;59.29
2019-03-25;67.37;58.71
2019-03-21;68.3;59.98
2019-03-14;66.18;58.59
2019-02-28;65.03;57.21
2019-02-18;66.41;55.58
2019-02-15;65.65;55.58
2019-02-14;64.0;54.4
2019-01-30;61.89;54.18
2019-01-14;58.8;50.31
2019-01-10;60.47;52.42
2019-01-08;56.91;49.58
2018-12-28;50.57;45.15
2018-12-19;55.6;47.96
2018-12-18;55.26;46.12
2018-12-14;58.56;51.26
2018-11-27;59.58;51.31
2018-11-20;61.5;53.39
2018-11-07;70.1;61.69
2018-11-06;70.64;62.16
2018-10-22;80.45;69.25
2018-10-08;84.22;74.27
2018-10-02;85.63;75.16
2018-09-28;82.72;73.16
2018-09-26;81.87;72.22
2018-09-25;82.21;73.4
2018-09-20;79.03;70.77
2018-09-13;77.66;68.6
2018-09-10;76.77;67.55
2018-08-03;72.48;68.49
2018-07-30;74.99;71.19
2018-07-25;73.67;71.13
2018-07-12;72.11;70.28
2018-07-02;76.71;73.89
2018-06-18;74.87;65.91
2018-06-15;72.02;65.01
2018-06-14;74.77;66.91
2018-06-12;74.86;66.38
2018-06-11;74.58;66.1
2018-06-05;72.91;65.51
2018-05-24;78.9;70.77
2018-05-18;78.38;71.23
2018-05-11;77.37;70.69
2018-05-10;77.59;71.36
2018-05-07;74.75;70.74
2018-05-04;74.75;69.71
2018-04-30;75.92;68.56
2018-04-25;73.79;68.0
2018-04-24;75.86;67.66
2018-04-17;71.71;66.5
2018-04-16;73.18;66.23
2018-04-12;71.44;67.07
2018-04-10;70.67;65.48
2018-04-06;66.51;62.03
2018-03-19;64.82;62.01
2018-03-15;63.67;61.16
2018-03-14;63.61;60.89
2018-03-08;63.87;60.13
2018-03-05;65.78;62.49
2018-02-28;66.08;61.43
2018-02-23;67.04;63.52
2018-02-14;62.29;60.7
2018-02-09;63.04;59.2
2018-02-08;64.26;61.3
2018-02-01;68.6;65.92
2018-01-31;67.78;64.82
2018-01-05;68.01;61.49
2017-12-07;62.37;56.5
2017-12-05;63.45;57.66
2017-12-04;63.45;57.48
2017-11-29;63.74;57.25
2017-11-17;61.34;56.21
2017-11-16;61.18;55.14
2017-11-07;64.36;57.19
2017-11-06;64.27;57.34
2017-11-02;60.79;54.55
2017-10-31;61.35;54.36
2017-10-17;57.63;51.87
2017-10-11;56.13;51.3
2017-10-02;55.67;50.59
2017-09-25;59.42;51.85
2017-09-20;57.2;50.29
2017-09-14;56.76;49.86
2017-09-13;55.52;49.3
2017-09-07;54.16;49.1
2017-09-05;53.63;48.63
2017-08-28;51.87;46.4
2017-08-18;50.96;48.59
2017-08-14;51.29;47.59
2017-08-07;51.42;49.37
2017-08-04;52.48;49.57
2017-08-02;52.09;49.6
2017-07-31;51.99;50.21
2017-07-24;47.81;46.21
2017-07-20;48.54;46.73
2017-07-10;46.57;44.4
2017-06-27;46.17;44.25
2017-06-22;44.46;42.53
2017-06-06;48.11;48.13
2017-06-05;48.25;47.4
2017-05-31;49.4;48.29
2017-05-19;52.78;50.32
2017-05-09;47.06;45.84
2017-05-05;47.45;46.23
2017-04-20;50.66;50.26
2017-04-19;52.43;50.49
2017-04-12;54.75;53.12
2017-04-10;54.79;53.06
2017-04-05;53.41;51.14
2017-03-27;50.12;47.02
2017-03-10;50.63;48.05
2017-03-08;53.3;49.83
2017-03-07;54.61;52.68
2017-03-02;54.16;52.63
2017-02-28;53.36;54.0
2017-02-15;54.57;53.11
2017-02-01;55.79;53.9
2017-01-24;54.7;52.38
2017-01-10;53.2;50.82
2016-12-28;53.93;54.01
2016-12-20;54.56;52.22
2016-12-15;51.72;50.9
2016-12-05;53.3;51.72
2016-11-29;44.68;45.29
2016-11-16;45.07;45.56
2016-11-09;43.88;45.2
2016-11-04;43.06;44.07
2016-11-02;44.26;45.32
2016-10-19;51.85;51.59
2016-10-14;48.87;50.35
2016-09-08;49.23;47.63
2016-09-05;46.72;44.39
2016-09-01;45.05;43.17
2016-08-08;43.24;43.06
2016-07-28;41.87;41.13
2016-07-26;43.56;42.16
2016-07-25;43.76;42.4
2016-07-18;45.35;45.23
2016-07-15;46.25;45.93
2016-07-08;44.53;45.37
2016-07-06;45.7;47.37
2016-06-29;48.4;49.85
2016-06-17;46.57;48.0
2016-06-14;47.88;48.49
